id,name,brewery_type,street,city,state,postal_code,website_url,phone,created_at,updated_at,country,Longitude,Latitude,tags
kauai-beer-company,Kauai Beer Company,brewpub,4265 Rice St,Lihue,Hawaii,96766,http://www.kauaibeer.com,8082452337,33:16.9,29:44.8,United States,-159.3647876,21.9722854,
stewbum,Stewbum,brewpub,96 N King St,Honolulu,Hawaii,96817-5109,http://www.stewbumandstonewall.com,8086646684,33:17.0,29:49.4,United States,-157.8634762,21.31171513,
honolulu-beerworks,Honolulu BeerWorks,brewpub,328 Cooke St,Honolulu,Hawaii,96813-5531,http://www.honolulubeerworks.com,8085892337,33:16.9,29:43.5,United States,-157.860634,21.29690603,
aloha-beer-co,Aloha Beer Co,brewpub,700 Queen St,Honolulu,Hawaii,96813-5110,http://www.alohabeer.com,8085455959,33:16.7,29:39.9,United States,-157.857248,21.301249,
waikiki-brewing-company-kakaako,"Waikiki Brewing Company, Kaka'ako",micro,831 Queen St,Honolulu,Hawaii,96813-5203,,,33:17.0,29:51.1,United States,-157.8559271,21.29964432,
home-of-the-brave-brewing-company,Home of the Brave Brewing Company,brewpub,909 Waimanu St,Honolulu,Hawaii,96814-3309,http://www.hotbbc.com,8083968112,33:16.8,29:42.9,United States,-157.8535966,21.29875689,
waikiki-brewing-company,Waikiki Brewing Company,brewpub,1945 Kalakaua Ave,Honolulu,Hawaii,96815-1851,http://www.waikikibrewing.com,,33:17.0,29:50.5,United States,-157.8334964,21.2858755,
beer-lab-hi,Beer Lab HI,micro,1010 University Ave Ste B1,Honolulu,Hawaii,96826-1537,http://www.beerlabhi.com,8088880913,33:16.7,29:40.5,United States,-157.8218784,21.29214406,
lanikai-brewing-co,Lanikai Brewing Co,micro,175-C Hamakua Dr,Kailua,Hawaii,96734,,,33:16.9,29:47.2,United States,-157.7403266,21.39044286,
kohola-brewery,Kohola Brewery,micro,910 Honoapiilani Hwy,Lahaina,Hawaii,96761-1507,http://www.koholabrewery.com,8088683198,33:16.9,29:46.1,United States,-156.653963,20.845329,
maui-brewing-co-brewpub,"Maui Brewing Co, Brewpub",brewpub,4405 Honoapiilani Hwy Ste 217,Lahaina,Hawaii,96761-9272,http://www.mauibrewingco.com,8086693474,33:17.0,29:48.4,United States,-156.653963,20.845329,
maui-brewing-co-production,Maui Brewing Co - Production,regional,605 Lipoa Pkwy,Kihei,Hawaii,96753-6947,http://www.mauibrewingco.com,8082133002,33:16.9,29:47.9,United States,-156.4402411,20.74961566,
kona-brewing-co,Kona Brewing Co,regional,74-5612 Pawai Pl,Kailua Kona,Hawaii,96740-1617,http://www.konabrewingco.com,8083341133,33:16.9,29:46.7,United States,-155.997661,19.643069,
hawaii-nui-brewing,Hawaii Nui Brewing,micro,275 E Kawili St,Hilo,Hawaii,96720-5074,http://www.hawaiinuibrewing.com,8089348211,33:16.8,29:42.3,United States,-155.0697885,19.70587596,
kodiak-island-brewing-co-llc,"Kodiak Island Brewing Co, LLC",micro,117 Lower Mill Bay Rd,Kodiak,Alaska,99615-6580,http://www.kodiakbrewery.com,9074862537,32:48.3,20:58.9,United States,-152.407155,57.79008256,
kenai-river-brewing-co,Kenai River Brewing Co,brewpub,308 Homestead Ln,Soldotna,Alaska,99669-8010,http://www.kenairiverbrewing.com,9072622337,32:48.3,20:56.2,United States,-151.0561141,60.4850753,
st-elias-brewing-co,St Elias Brewing Co,micro,434 Sharkathmi Ave,Soldotna,Alaska,99669-7665,,9072607837,32:48.5,21:08.7,United States,-151.0472293,60.49148673,
49th-state-brewing-co-anchorage,49th State Brewing Co - Anchorage,brewpub,717 W 3rd Ave,Anchorage,Alaska,99501-2104,http://www.49statebrewing.com/,9076832739,32:47.9,20:34.9,United States,-149.8958196,61.2197366,
faults-brewing,Faults Brewing,planning,,Anchorage,Alaska,99509-0312,,9073019922,32:48.1,20:46.0,United States,-149.8948523,61.2163129,
turnagain-brewing,Turnagain Brewing,planning,,Anchorage,Alaska,99507-1226,,9073011657,32:48.5,21:09.1,United States,-149.8948523,61.2163129,
humpys-great-alaskan-alehouse,Humpy's Great Alaskan Alehouse,contract,610 W 6th Ave,Anchorage,Alaska,99501-2225,http://www.humpysalaska.com,9072762337,32:48.2,20:53.3,United States,-149.8938928,61.216502,
anchorage-brewing-co,Anchorage Brewing Co,micro,148 W 91st Ave,Anchorage,Alaska,99515-1901,http://www.anchoragebrewingcompany.com,9073605104,32:47.9,20:36.6,United States,-149.8893581,61.1385311,
king-street-brewing-co,King Street Brewing Co,micro,9050 King Street,Anchorage,Alaska,99515,http://www.kingstreetbrewing.com,9073365464,32:48.3,20:57.2,United States,-149.879076,61.13848935,
cooper-landing-brewing-company-llc,"Cooper Landing Brewing Company, LLC.",micro,,Cooper Landing,Alaska,99572,http://www.cooperlandingbrewing.com,9072236101,32:48.0,20:43.0,United States,-149.8478495,60.4952185,
